col0|col1|col2|col3|col4|col5|col6|col7|col8|col9|col10|col11|col12|col13|col14|col15|col16|col17|col18|col19|col20|col21|col22|col23|col24|col25|col26|col27|col28|col29|col30|col31|col32|col33|col34|col35|col36|col37|col38|col39|col40|col41|col42|col43|col44|col45|col46|col47|col48|col49|col50|col51|col52|col53|col54|col55|col56|col57|col58
W|L|YEG|YEG|20240110|1030|2024-01-10 10:30|1704882600000|20240117|1030|2024-01-17 10:30|1705487400000|7|1|SFAR|W|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|361.9800109863281|None|403.0899963378906|None|1237.300048828125|None|351.5|None|None|None|None|None|None|None|None|None|348.82000732421875|None|369.2099914550781|None|None|None|None|None|351.5|None|None
W|L|YEG|YEG|20240110|1030|2024-01-10 10:30|1704882600000|20240117|1030|2024-01-17 10:30|1705487400000|7|0|JCAE||EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|1014.7999877929688|1014.7999877929688|None|None|None|None|None|None|None|None|None|None
W|L|YEG|YEG|20240110|1030|2024-01-10 10:30|1704882600000|20240117|1030|2024-01-17 10:30|1705487400000|7|0|FCAR|E|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|305.6199951171875|305.6199951171875|None|None|None|None|None|None|None|None|None|None
W|L|YEG|YEG|20240110|1030|2024-01-10 10:30|1704882600000|20240117|1030|2024-01-17 10:30|1705487400000|7|0|IFAR|F|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|321.0299987792969|321.0299987792969|None|None|None|None|None|None|None|None|None|None
W|A|YEG|YEG|20240110|1030|2024-01-10 10:30|1704882600000|20240117|1030|2024-01-17 10:30|1705487400000|7|1|ECAR|A|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|280.7900085449219|280.7900085449219|None|None|None|None|None|None|None|None|None|None
W|A|YEG|YEG|20240110|1030|2024-01-10 10:30|1704882600000|20240117|1030|2024-01-17 10:30|1705487400000|7|1|SCAR|D|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|276.25|276.25|None|None|None|None|None|None|None|None|None|None
W|A|YEG|YEG|20240110|1030|2024-01-10 10:30|1704882600000|20240117|1030|2024-01-17 10:30|1705487400000|7|1|RFAC||EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|400.94000244140625|400.94000244140625|None|None|None|None|None|None|None|None|None|None
W|A|YEG|YEG|20240110|1030|2024-01-10 10:30|1704882600000|20240117|1030|2024-01-17 10:30|1705487400000|7|1|SFAR|W|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|348.82000732421875|348.82000732421875|None|None|None|None|None|None|None|None|None|None
W|L|YEG|YEG|20240110|1030|2024-01-10 10:30|1704882600000|20240117|1030|2024-01-17 10:30|1705487400000|7|1|ECAR|A|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|289.6099853515625|None|273.2799987792969|None|793.760009765625|None|281.6099853515625|None|None|None|None|None|None|None|None|None|280.7900085449219|None|296.8399963378906|None|None|None|None|None|281.6099853515625|None|None
W|L|YEG|YEG|20240110|1030|2024-01-10 10:30|1704882600000|20240117|1030|2024-01-17 10:30|1705487400000|7|1|LCAR|H|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|803.9299926757812|None|None|None|1138.31005859375|None|None|None|None|None|None|None|None|None|None|None|None|None|748.75|None|None|None|None|None|None|None|None
W|L|YEG|YEG|20240110|1030|2024-01-10 10:30|1704882600000|20240117|1030|2024-01-17 10:30|1705487400000|7|1|ICAR|C|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|296.8399963378906|None|286.94000244140625|None|729.97998046875|None|287.7799987792969|None|None|None|None|None|None|None|None|None|286.7900085449219|None|304.0799865722656|None|None|None|None|None|287.7799987792969|None|None
W|L|YEG|YEG|20240110|1030|2024-01-10 10:30|1704882600000|20240117|1030|2024-01-17 10:30|1705487400000|7|1|PCAR|G|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|434.3599853515625|None|423.5|None|883.260009765625|None|None|None|None|None|None|None|None|None|None|None|None|None|441.5899963378906|None|None|None|None|None|None|None|None
